Record_ID,Name,Name_Variant,Company_Name,Company_Name_Variant,Match_Label,full_ratio,partial_ratio,token_sort_ratio,token_set_ratio,trigram
1,Heather Holmes,He@ther H0lmes,"Hayes, Peterson and Sanders","Hay3s, P3t3rson and Sand3rs",Slight Variation,86,86,43,43,0.4
2,Timothy Mathews,Tim0thy M@thews,"Combs, Martin and Patterson","Combs, Martin and Patt3rson",Slight Variation,87,87,87,87,0.476
3,Robert Ramirez,R0bert R@mirez,Miller Group,Mill3r Group,Slight Variation,86,86,79,79,0.4
4,Heather Madden,He@ther M@dden,"Li, Watkins and Smith","Li, Watkins and Smith",Slight Variation,86,86,43,43,0.429
5,Barry Collier,B@rry C0llier,"Montoya, Miller and Flores","Montoya, Mill3r and Flor3s",Slight Variation,85,85,62,62,0.4
6,Thomas Sanchez,Th0m@s S@nchez,"Rodriguez, Alexander and Young","Rodrigu3z, Al3xand3r and Young",Slight Variation,79,79,64,69,0.333
7,James Goodman,J@mes G00dm@n,Miller-Murray,Mill3r-Murray,Slight Variation,69,69,62,62,0.167
8,Jennifer Bullock,Jennifer Bull0ck,Simpson LLC,Simpson LLC,Slight Variation,94,94,94,94,0.7
9,Jonathan Martin,J0n@th@n M@rtin,"Stewart, Garza and White","St3wart, Garza and Whit3",Slight Variation,73,73,53,53,0.185
10,Brianna Reynolds,Bri@nn@ Reyn0lds,Adams-Craig,Adams-Craig,Slight Variation,81,81,84,84,0.375
11,Tracy Cummings,Tr@cy Cummings,"Nelson, Drake and Davis","N3lson, Drak3 and Davis",Slight Variation,93,93,79,79,0.706
12,Christopher Diaz,Christ0pher Di@z,Roth and Sons,Roth and Sons,Slight Variation,88,88,88,88,0.478
13,David Coleman,D@vid C0lem@n,Ross LLC,Ross LLC,Slight Variation,77,77,69,69,0.217
14,Donald Cruz,D0n@ld Cruz,Davis PLC,Davis PLC,Slight Variation,82,82,82,82,0.412
15,Randy Johnson,R@ndy J0hns0n,Snyder-Jackson,Snyd3r-Jackson,Slight Variation,77,77,69,69,0.217
16,Cory Cox,C0ry C0x,Zavala-Brewer,Zavala-Br3w3r,Slight Variation,75,75,75,75,0.167
17,Aaron Wilson,A@r0n Wils0n,Smith-Butler,Smith-Butl3r,Slight Variation,75,75,75,75,0.263
18,David Horn,D@vid H0rn,Vega-Fischer,V3ga-Fisch3r,Slight Variation,80,80,40,40,0.294
19,Donna Davis,D0nn@ D@vis,Sampson-Frazier,Sampson-Frazi3r,Slight Variation,73,73,38,38,0.167
20,Amanda Craig,Am@nd@ Cr@ig,Simon-Tyler,Simon-Tyl3r,Slight Variation,75,75,61,61,0.25
21,Catherine Burns,C@therine Burns,"Harmon, Lopez and Adkins","Harmon, Lop3z and Adkins",Slight Variation,93,93,93,93,0.684
