Record_ID,Name,Name_Variant,Company_Name,Company_Name_Variant,Match_Label
1,Heather Holmes,He@ther H0lmes,"Hayes, Peterson and Sanders","Hay3s, P3t3rson and Sand3rs",Slight Variation
2,Timothy Mathews,Tim0thy M@thews,"Combs, Martin and Patterson","Combs, Martin and Patt3rson",Slight Variation
3,Robert Ramirez,R0bert R@mirez,Miller Group,Mill3r Group,Slight Variation
4,Heather Madden,He@ther M@dden,"Li, Watkins and Smith","Li, Watkins and Smith",Slight Variation
5,Barry Collier,B@rry C0llier,"Montoya, Miller and Flores","Montoya, Mill3r and Flor3s",Slight Variation
6,Thomas Sanchez,Th0m@s S@nchez,"Rodriguez, Alexander and Young","Rodrigu3z, Al3xand3r and Young",Slight Variation
7,James Goodman,J@mes G00dm@n,Miller-Murray,Mill3r-Murray,Slight Variation
8,Jennifer Bullock,Jennifer Bull0ck,Simpson LLC,Simpson LLC,Slight Variation
9,Jonathan Martin,J0n@th@n M@rtin,"Stewart, Garza and White","St3wart, Garza and Whit3",Slight Variation
10,Brianna Reynolds,Bri@nn@ Reyn0lds,Adams-Craig,Adams-Craig,Slight Variation
11,Tracy Cummings,Tr@cy Cummings,"Nelson, Drake and Davis","N3lson, Drak3 and Davis",Slight Variation
12,Christopher Diaz,Christ0pher Di@z,Roth and Sons,Roth and Sons,Slight Variation
13,David Coleman,D@vid C0lem@n,Ross LLC,Ross LLC,Slight Variation
14,Donald Cruz,D0n@ld Cruz,Davis PLC,Davis PLC,Slight Variation
15,Randy Johnson,R@ndy J0hns0n,Snyder-Jackson,Snyd3r-Jackson,Slight Variation
16,Cory Cox,C0ry C0x,Zavala-Brewer,Zavala-Br3w3r,Slight Variation
17,Aaron Wilson,A@r0n Wils0n,Smith-Butler,Smith-Butl3r,Slight Variation
18,David Horn,D@vid H0rn,Vega-Fischer,V3ga-Fisch3r,Slight Variation
19,Donna Davis,D0nn@ D@vis,Sampson-Frazier,Sampson-Frazi3r,Slight Variation
20,Amanda Craig,Am@nd@ Cr@ig,Simon-Tyler,Simon-Tyl3r,Slight Variation
21,Catherine Burns,C@therine Burns,"Harmon, Lopez and Adkins","Harmon, Lop3z and Adkins",Slight Variation
22,Timothy Brown,Tim0thy Br0wn,Turner Ltd,Turn3r Ltd,Slight Variation
23,Christopher Sullivan,Christ0pher Sulliv@n,Clark-Green,Clark-Gr33n,Slight Variation
24,Christina Mason,Christin@ M@s0n,Smith-Cohen,Smith-Coh3n,Slight Variation
25,Jennifer Cole,Jennifer C0le,"Smith, Rivera and Liu","Smith, Riv3ra and Liu",Slight Variation
26,Justin Kramer,Justin Kr@mer,Rios Ltd,Rios Ltd,Slight Variation
27,Amanda Martin,Am@nd@ M@rtin,"Watts, Becker and Jackson","Watts, B3ck3r and Jackson",Slight Variation
28,Karen Villanueva,K@ren Vill@nuev@,Delgado Inc,D3lgado Inc,Slight Variation
29,Ricky Peters,Ricky Peters,"Williams, Underwood and Davis","Williams, Und3rwood and Davis",Slight Variation
30,Matthew Prince,M@tthew Prince,Washington-Neal,Washington-N3al,Slight Variation
31,Pamela Smith,P@mel@ Smith,Ramirez PLC,Ramir3z PLC,Slight Variation
32,Andrew Arnold,Andrew Arn0ld,Contreras Group,Contr3ras Group,Slight Variation
33,Jose Scott,J0se Sc0tt,"Mcdaniel, Powell and Patterson","Mcdani3l, Pow3ll and Patt3rson",Slight Variation
34,Holly Peterson,H0lly Peters0n,Sherman Group,Sh3rman Group,Slight Variation
35,Amanda Moses,Am@nd@ M0ses,French LLC,Fr3nch LLC,Slight Variation
36,Kyle Carroll,Kyle C@rr0ll,Johnson-Collier,Johnson-Colli3r,Slight Variation
37,Michael Hayden,Mich@el H@yden,Smith PLC,Smith PLC,Slight Variation
38,Mary Waller,M@ry W@ller,Reid LLC,R3id LLC,Slight Variation
39,Amanda Warner,Am@nd@ W@rner,Stewart Inc,St3wart Inc,Slight Variation
40,Mark Leonard,M@rk Le0n@rd,Brown-Espinoza,Brown-Espinoza,Slight Variation
41,Eric Harris,Eric H@rris,Wilson Inc,Wilson Inc,Slight Variation
42,Ryan Hudson,Ry@n Huds0n,Delacruz-Nichols,D3lacruz-Nichols,Slight Variation
43,Jacqueline Sanchez,J@cqueline S@nchez,Dawson and Sons,Dawson and Sons,Slight Variation
44,Rachael Martinez,R@ch@el M@rtinez,"Gonzalez, Andersen and Murphy","Gonzal3z, And3rs3n and Murphy",Slight Variation
45,Juan Garcia,Ju@n G@rci@,Brooks-Lopez,Brooks-Lop3z,Slight Variation
46,Ricardo Parker,Ric@rd0 P@rker,Gonzalez LLC,Gonzal3z LLC,Slight Variation
47,Jaime Chavez,J@ime Ch@vez,Taylor-Gardner,Taylor-Gardn3r,Slight Variation
